"Symbol","Name","IPO date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"ENVX","Enovix Corporation","07/12/2021","$3,542,540,867","Electrical Equipment & Parts","1.06","1.35","24.02","145,245,628","820,059","0.56%","Analyze"
"AHCO","AdaptHealth Corp.  - Class A","05/24/2018","$3,296,338,944","Medical Devices","1.01","0.89","25.45","0","647,546","0.00%","Analyze"
"STEM","Stem, Inc. Class A","10/08/2020","$3,287,014,129","Software—Infrastructure","1.16","0.95","26.65","131,008,933","1,890,043","1.44%","Analyze"
"CLOV","Clover Health Investments, Corp.  - Class A","10/08/2003","$3,252,092,054","Healthcare Plans","0.94","0.77","7.27","235,874,471","11,589,762","4.91%","Analyze"
"MPLN","MultiPlan Corporation Class A","04/03/2020","$3,166,876,348","Healthcare Plans","0.89","0.62","4.33","668,117,373","5,385,779","0.81%","Analyze"
"FFIE","Faraday Future Intelligent Electric Inc.","09/02/2020","$2,776,525,948","Auto Manufacturers","0.92","0.67","8.19","324,360,508","1,617,954","0.50%","Analyze"
"PAYO","Payoneer Global Inc.","06/23/2021","$2,683,131,178","Software—Infrastructure","0.94","0.81","7.69","338,351,977","1,170,511","0.35%","Analyze"
"ADV","Advantage Solutions Inc.  - Class A","01/04/1999","$2,682,389,392","Advertising Agencies","0.97","0.78","8.24","318,573,562","260,208","0.08%","Analyze"
"LEV","The Lion Electric Company","10/08/2020","$2,548,339,247","Farm & Heavy Construction Machinery","1.10","0.77","13.25","189,467,602","1,010,762","0.53%","Analyze"
"DNA","Ginkgo Bioworks Holdings, Inc. Class A","04/19/2021","$2,497,800,000","Biotechnology","1.07","1.37","14.33","172,500,000","11,057,260","6.41%","Analyze"
"PACK","Ranpak Holdings Corp Class A","12/31/1997","$2,453,090,238","Packaging & Containers","1.03","1.34","31.38","78,473,776","290,143","0.37%","Analyze"
"SHCR","Sharecare, Inc. - Class A","11/23/2020","$2,449,856,616","Health Information Services","0.98","0.75","6.91","335,137,704","833,586","0.25%","Analyze"
"VRRM","Verra Mobility Corporation - Class A","03/24/2017","$2,434,540,710","Security & Protection Services","1.00","1.01","14.80","162,410,988","792,839","0.49%","Analyze"
"FSR","Fisker Inc. Class A","10/02/2018","$2,423,427,006","Auto Manufacturers","1.01","0.92","14.54","163,745,068","5,175,636","3.16%","Analyze"
"IONQ","IonQ, Inc.","01/04/2021","$2,413,761,792","Computer Hardware","1.17","1.16","12.28","0","4,341,609","0.00%","Analyze"
"HIPO","Hippo Holdings Inc.","07/29/2021","$2,403,864,832","Insurance—Specialty","0.98","0.78","4.20","559,038,333","1,886,941","0.34%","Analyze"
"MVST","Microvast Holdings, Inc.","03/27/2019","$2,383,093,831","Electrical Equipment & Parts","0.98","0.64","7.84","300,516,246","1,375,169","0.46%","Analyze"
"GWH","ESS Tech, Inc.","10/11/2021","$2,254,793,216","Electrical Equipment & Parts","0.99","0.98","16.58","0","8,250,047","0.00%","Analyze"
"SLGC","SomaLogic, Inc. - Class A","04/23/2021","$2,188,453,425","Health Information Services","1.02","1.01","11.85","181,163,363","1,008,107","0.56%","Analyze"
"CDEV","Centennial Resource Development Inc Class A","04/15/2016","$2,165,282,784","Oil & Gas E&P","1.04","1.45","7.33","279,391,327","6,502,959","2.33%","Analyze"
"CIFR","Cipher Mining Inc.","08/25/2021","$2,164,233,502","Capital Markets","1.00","0.78","7.90","247,058,619","2,681,294","1.09%","Analyze"
"HLMN","Hillman Solutions Corp. - Class A","07/12/2021","$2,136,416,730","Tools & Accessories","0.98","0.92","11.07","187,569,511","778,027","0.41%","Analyze"
"PTRA","Proterra Inc","05/29/2014","$2,097,526,193","Auto Manufacturers","1.05","0.65","10.25","212,300,222","1,416,560","0.67%","Analyze"
"NUVB","Nuvation Bio Inc. Class A","08/24/2020","$2,090,487,187","Biotechnology","1.00","0.92","9.60","217,759,082","346,143","0.16%","Analyze"
"RPAY","Repay Holdings Corporation  - Class A","07/17/2018","$2,031,849,588","Software—Infrastructure","0.96","0.91","21.41","90,586,250","381,191","0.42%","Analyze"
"DOMA","Doma Holdings, Inc.","07/26/2021","$2,017,418,752","Real Estate Services","1.01","0.84","6.25","0","530,294","0.00%","Analyze"
"SMFR","Sema4 Holdings Corp. - Class A","11/04/2020","$1,947,944,160","Health Information Services","1.01","0.62","7.81","240,190,402","1,273,388","0.53%","Analyze"
"CLBT","Cellebrite DI Ltd.","11/06/2020","$1,944,896,212","Software—Infrastructure","1.01","1.07","10.87","176,008,707","371,427","0.21%","Analyze"
"CANO","Cano Health, Inc. Class A","07/02/2020","$1,917,474,680","Medical Care Facilities","0.95","0.84","10.90","174,315,880","2,897,498","1.66%","Analyze"
"ASTR","Astra Space, Inc. - Class A","06/28/2021","$1,889,446,410","Aerospace & Defense","0.99","0.93","9.24","201,219,000","3,024,426","1.50%","Analyze"
"JBI","Janus International Group, Inc.","12/20/2019","$1,883,409,643","Building Products & Equipment","1.01","1.01","13.32","138,384,250","946,240","0.68%","Analyze"
"DM","Desktop Metal, Inc. Class A","05/03/2019","$1,823,687,992","Computer Hardware","0.99","0.52","7.06","255,776,717","3,884,921","1.52%","Analyze"
"ROVR","Rover Group, Inc. - Class A","02/01/2021","$1,815,620,453","Personal Services","0.99","1.10","11.84","157,196,576","190,086","0.12%","Analyze"
"GOEV","Canoo Inc.  - Class A","04/16/2019","$1,804,933,036","Auto Manufacturers","1.01","0.73","7.35","237,491,189","1,925,223","0.81%","Analyze"
"VVNT","Vivint Smart Home, Inc.","01/21/2020","$1,790,749,475","Security & Protection Services","0.99","0.64","8.72","208,712,060","582,579","0.28%","Analyze"
"PRCH","Porch Group, Inc.","01/13/2020","$1,786,681,062","Software—Application","1.01","1.00","17.77","96,734,221","1,472,130","1.52%","Analyze"
"VLD","Velo3D, Inc.","09/24/2021","$1,767,532,544","Computer Hardware","1.19","1.23","10.44","0","682,804","0.00%","Analyze"
"GDYN","Grid Dynamics Holdings, Inc. - Class A","03/06/2020","$1,747,826,924","Information Technology Services","0.93","1.41","27.40","62,111,831","373,845","0.60%","Analyze"
